,award_id,character
0,122,Moe
1,122,Carl
2,122,Duffman
3,122,Kirk
4,123,Moe
5,123,Carl
6,123,Duffman
7,127,Sideshow Mel
8,149,Bart Simpson
9,195,Moe Szyslak
10,196,Homer Simpson
11,197,Laney Fontaine
12,197,Shauna
13,197,Mrs. Muntz
14,222,Kent Brockman
15,222,Mr. Burns
17,222,Smithers
18,223,Kent Brockman
19,223,Mr. Burns
21,223,Smithers
22,254,Carl
23,254,Chief Wiggum
24,254,Comic Book Guy
25,254,Duffman
26,254,Mexican Duffman
27,254,Moe Szyslak
28,276,Barney Gumble
29,276,Homer Simpson
30,276,Krusty the Clown
31,276,Louie
32,299,Princess Penelope
33,301,Apu
34,301,Moe Szyslak
35,302,Grampa Simpson
36,302,Homer Simpson
37,325,Homer Simpson
38,326,Moe Szyslak
39,327,Kent Brockman
40,327,Lenny
41,327,Mr. Burns
42,327,Smithers
43,413,Sideshow Bob
44,660,Apu
45,758,Homer Simpson
46,764,Bart Simpson
47,765,Rabbi Krustofsky
48,766,Marge Simpson
49,766,Patty Bouvier
50,766,Selma Bouvier
51,766,Jacqueline Bouvier
52,767,Lisa Simpson
53,768,Edna Krabappel
54,769,Homer Simpson
55,123,Kirk
56,126,Homer Simpson
57,126,Krusty the Clown
58,126,Groundskeeper Willie
59,126,Sideshow Mel
60,127,Homer Simpson
61,127,Krusty the Clown
62,127,Groundskeeper Willie
63,1171,Mayor Quimby
64,1171,Hans Moleman
65,1173,Marge Simpson
66,1173,Patty Bouvier
67,1173,Selma Bouvier
68,1174,Lisa Simpson
69,1213,Marge Simpson
70,1213,Homer Simpson
71,1239,Mr. Burns
74,769,Grampa Simpson
75,954,Shary Bobbins
76,955,Shary Bobbins
77,956,Shary Bobbins
78,957,Bart Simpson
79,970,Mr. Burns
80,971,Sideshow Bob
81,972,Bender
82,973,Mr. Lassen
83,974,Maxine Lombard
84,985,Edna Krabappel
85,986,Isabel Gutiérrez
86,987,Ms. Cantwell
87,988,Homer Simpson
88,989,Bart Simpson
89,990,Edna Krabappel
90,1001,Homer Simpson
91,1002,Marge Simpson
92,1003,Bar Rag
93,1004,Mona Simpson
94,1005,Moe Szyslak
95,1006,Ned Flanders
96,1007,Edna Krabappel
97,1008,Martin Prince
98,1009,Bart Simpson
99,1073,Bart Simpson
100,1096,Lisa Simpson
101,1151,Apu Nahasapeemapetilon
102,1151,Chief Wiggum
103,1151,Lou
104,1151,Dr. Nick Riviera
105,1151,Professor Frink
106,1151,Luigi Risotto
107,1151,Captain Horatio McCallister
108,1151,Cletus Spuckler
109,1151,Duffman
110,1151,Drederick Tatum
111,1151,Wiseguy
112,1151,Doug
113,1151,Moe Szyslak
114,1151,Comic Book Guy
115,1151,Carl Carlson
116,1151,Snake Jailbird
117,1151,Kirk Van Houten
118,1151,Bumblebee Man
119,1151,Superintendent Chalmers
120,1151,Disco Stu
121,1151,Crazy Old Man
122,1151,Legs
123,1151,Akira
124,1151,Johnny Tightlips
125,1169,Moe Szyslak
126,1169,Chief Wiggum
127,1169,Apu Nahasapeemapetilon
128,1169,Comic Book Guy
129,1169,Carl Carlson
130,1169,Cletus Spuckler
131,1169,Professor Frink
132,1169,Dr. Nick Riviera
133,1171,Homer Simpson
134,1171,Grampa Simpson
135,1171,Barney Gumble
136,1171,Krusty the Clown
137,1171,Groundskeeper Willie
